infinitive;Simple Past;Past participle;trad_fr;hint_fr;trad_de;hint_de;hint_eng;trad_es;hint_es
abide;abided / abode;abided / abode;respecter, se conformer à;porter une profonde estime à quelqu'un;ausstehen, aushalten;;;aguantar;
alight;alighted / alit;alighted / alit;descendre;Aller (vers le bas);aus-/absteigen, anbrennen;;;iluminar;
arise;arose;arisen;survenir;Arriver de manière inopinée, dans une situation ou une affaire en cours;hervorgehen, sich ergeben;;;levantar, erguer;
awake;awoke / awaked;awoken / awaked;se réveiller;Sortir du sommeil.;erwachen;;;acordar, despertar;
(to) be;was, were;been;être;Exister, avoir, devenir, paraître.;sein;;;ser, estar;
am;was;been;être;Exister, avoir, devenir, paraître.;sein;;;soy;
is;was;been;être;Exister, avoir, devenir, paraître.;sein;;;es;
are;were;been;être;Exister, avoir, devenir, paraître.;sein;;;son;
bear;bore;born / borne;porter, supporter;Avoir sur soi le poids, la charge de quelque chose.;ausbringen, ausüben;;;levar, aguantar;
beat;beat;beaten;battre;Frapper de coups répétés;schlagen, besiegen;;;batir, golpear;
become;became;become;devenir;Être engagé dans un processus évolutif devant aboutir à un changement d'état.;werden;;;hacerse, ponerse;
beget;begot/begat;begotten;engendrer, causer;Donner forme, consistance, réalité (à quelque chose).;ein Kind zeugen;;;engendrar;
begin;began;begun;commencer;Je démarre un travail.;beginnen, anfangen;;;comenzar;
bend;bent;bent;plier, courber;Un bossu est … .;abbiegen;;;torcer;
bereave;bereaved / bereft;bereaved / bereft;déposséder, priver;[À propos d'une situation soc. importante] Évincer, chasser;abbiegen;;;despojar;
beseech;besought / beseeched;besought / beseeched;implorer;Supplier d'une manière pressante.;anflehen;;;suplicar;
bet;bet;bet;parier;Je … une tomate que tu vas réussir cette question.;wetten;;;apostar;
bid;bid / bade;bid / bidden;inviter, ordonner, t'invite;Je … à ma fête d'anniversaire;bieten;;;ofrecer;
bind;bound;bound;attacher, lier;Les mariés sont … par l'aliance.;binden, abbinden;;You are … to this contract;atar, amarrar;
bite;bit;bitten;mordre;Les pirates croque dans une pièce pour vérifié qu'elle soit faite d'or.;beißen;;;morder, picar;
bleed;bled;bled;saigner, saigne;Quand on se blesse, on … .;bluten;;;sangrar;
blow;blew;blown;souffler, souffle;Le vent … sur les côtes.;blasen, wehen;;;soplar;
